file_path,file_name,outlier_type,row_number,details
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,8,"time_ms=670.0,mz=5.40,dev=8.42"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,23,"time_ms=686.0,mz=5.40,dev=7.58"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,42,"time_ms=686.0,mz=5.40,dev=7.58"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,48,"time_ms=687.0,mz=6.07,dev=8.58"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,68,"time_ms=686.0,mz=5.40,dev=7.58"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW500000_TP12.csv,SF9_BW500000_TP12.csv,tx_interval_outlier,91,"time_ms=686.0,mz=5.40,dev=7.58"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW62500_TP12.csv,SF9_BW62500_TP12.csv,payload_invalid,29,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW62500_TP22.csv,SF9_BW62500_TP22.csv,payload_invalid,66,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW250000_TP22.csv,SF10_BW250000_TP22.csv,payload_invalid,56,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW250000_TP22.csv,SF10_BW250000_TP22.csv,payload_invalid,75,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW250000_TP22.csv,SF10_BW250000_TP22.csv,payload_invalid,77,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,55,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,64,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,87,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,101,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF11\SF11_BW125000_TP22.csv,SF11_BW125000_TP22.csv,payload_invalid,93,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF11\SF11_BW250000_TP22.csv,SF11_BW250000_TP22.csv,tx_interval_outlier,4,"time_ms=4463.0,mz=16.86,dev=74.74"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF11\SF11_BW250000_TP22.csv,SF11_BW250000_TP22.csv,tx_interval_outlier,32,"time_ms=4638.0,mz=22.48,dev=100.26"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF11\SF11_BW250000_TP22.csv,SF11_BW250000_TP22.csv,payload_invalid,3,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF12\SF12_BW250000_TP2.csv,SF12_BW250000_TP2.csv,payload_invalid,8,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW125000_TP12.csv,SF7_BW125000_TP12.csv,payload_invalid,92,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW125000_TP2.csv,SF7_BW125000_TP2.csv,tx_interval_outlier,21,"time_ms=770.0,mz=6.07,dev=8.70"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW125000_TP2.csv,SF7_BW125000_TP2.csv,tx_interval_outlier,66,"time_ms=769.0,mz=6.75,dev=9.70"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW125000_TP2.csv,SF7_BW125000_TP2.csv,tx_interval_outlier,77,"time_ms=770.0,mz=6.07,dev=8.70"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW250000_TP2.csv,SF7_BW250000_TP2.csv,tx_interval_outlier,4,"time_ms=498.0,mz=34.40,dev=99.77"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW250000_TP2.csv,SF7_BW250000_TP2.csv,tx_interval_outlier,102,"time_ms=367.0,mz=9.78,dev=31.23"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,22,"time_ms=198.0,mz=7.42,dev=10.61"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,31,"time_ms=201.0,mz=5.40,dev=7.61"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,42,"time_ms=199.0,mz=6.75,dev=9.61"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,86,"time_ms=201.0,mz=5.40,dev=7.61"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,98,"time_ms=198.0,mz=7.42,dev=10.61"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP2.csv,SF7_BW500000_TP2.csv,tx_interval_outlier,11,"time_ms=200.0,mz=6.07,dev=8.60"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP2.csv,SF7_BW500000_TP2.csv,tx_interval_outlier,22,"time_ms=199.0,mz=6.75,dev=9.60"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP2.csv,SF7_BW500000_TP2.csv,tx_interval_outlier,23,"time_ms=217.0,mz=5.40,dev=8.40"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,19,"time_ms=201.0,mz=5.40,dev=7.64"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,29,"time_ms=201.0,mz=5.40,dev=7.64"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,51,"time_ms=199.0,mz=6.75,dev=9.64"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,payload_invalid,23,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,payload_invalid,29,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,payload_invalid,46,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,payload_invalid,88,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW62500_TP12.csv,SF7_BW62500_TP12.csv,tx_interval_outlier,101,"time_ms=1592.0,mz=9.44,dev=42.55"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW62500_TP12.csv,SF7_BW62500_TP12.csv,tx_interval_outlier,102,"time_ms=1504.0,mz=10.34,dev=45.45"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW62500_TP22.csv,SF7_BW62500_TP22.csv,tx_interval_outlier,51,"time_ms=1644.0,mz=18.21,dev=94.62"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF7\SF7_BW62500_TP22.csv,SF7_BW62500_TP22.csv,tx_interval_outlier,52,"time_ms=1453.0,mz=18.60,dev=96.38"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP12.csv,SF8_BW125000_TP12.csv,payload_invalid,17,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP12.csv,SF8_BW125000_TP12.csv,payload_invalid,36,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP12.csv,SF8_BW125000_TP12.csv,payload_invalid,60,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP12.csv,SF8_BW125000_TP12.csv,payload_invalid,66,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP2.csv,SF8_BW125000_TP2.csv,payload_invalid,57,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP2.csv,SF8_BW125000_TP2.csv,payload_invalid,65,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW125000_TP22.csv,SF8_BW125000_TP22.csv,payload_invalid,7,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_50.0m\SF8\SF8_BW62500_TP22.csv,SF8_BW62500_TP22.csv,payload_invalid,63,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW125000_TP22.csv,SF10_BW125000_TP22.csv,payload_invalid,40,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP12.csv,SF10_BW62500_TP12.csv,payload_invalid,89,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,3,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,8,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,9,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,10,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,15,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,16,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,17,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,18,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,22,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,23,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,24,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,28,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,29,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,30,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,31,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,37,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,43,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,44,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,45,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,47,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,51,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,55,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,57,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,58,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,59,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,60,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,61,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,64,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,65,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_56.25m\SF10\SF10_BW62500_TP22.csv,SF10_BW62500_TP22.csv,payload_invalid,66,PACKET_LOST
